Day,Well,mean_cells,n_tiles,channel_count
1,A1,10.0,6,1
1,B1,12.21,6,1
1,C1,11.2,6,1
2,A1,24.08,6,1
2,B1,18.24,6,1
2,C1,17.43,6,1
3,A1,32.77,6,1
3,B1,37.45,6,1
3,C1,21.59,6,1
4,A1,74.58,6,1
4,B1,67.9,6,1
4,C1,75.25,6,1
5,A1,130.51,6,1
5,B1,135.58,6,1
5,C1,139.18,6,1
6,A1,185.52,6,1
6,B1,160.95,6,1
6,C1,172.44,6,1
7,A1,218.16,6,1
7,B1,230.66,6,1
7,C1,233.7,6,1
8,A1,322.58,6,1
8,B1,312.68,6,1
8,C1,316.73,6,1
9,A1,329.23,6,1
9,B1,392.71,6,1
9,C1,386.96,6,1
10,A1,257.98,6,1
10,B1,330.84,6,1
10,C1,255.88,6,1
11,A1,350.28,6,1
11,B1,453.8,6,1
11,C1,452.51,6,1
12,A1,233.91,6,1
12,C1,213.64,6,1
13,A1,285.09,6,1
13,B1,309.32,6,1
13,C1,333.27,6,1
14,A1,185.51,6,1
14,B1,186.53,6,1
14,C1,211.8,6,1
