Day,Well,mean_cells,n_tiles,channel_count
1,A2,27.17,6,1
1,B2,38.67,6,1
1,C2,18.66,6,1
2,A2,44.66,6,1
2,B2,63.47,6,1
2,C2,33.37,6,1
3,A2,89.53,6,1
3,B2,110.59,6,1
3,C2,55.39,6,1
4,A2,169.59,6,1
4,B2,209.71,6,1
4,C2,109.11,6,1
5,A2,317.23,6,1
5,B2,376.58,6,1
5,C2,255.41,6,1
6,A2,450.25,6,1
6,B2,343.55,6,1
6,C2,344.67,6,1
7,A2,591.18,6,1
7,B2,517.79,6,1
7,C2,495.73,6,1
8,A2,888.56,6,1
8,B2,701.39,6,1
8,C2,711.31,6,1
9,A2,1010.1,6,1
9,B2,875.36,6,1
9,C2,791.5,6,1
10,A2,820.64,6,1
10,B2,578.02,6,1
10,C2,625.64,6,1
11,A2,1134.32,6,1
11,B2,929.55,6,1
11,C2,960.43,6,1
12,A2,741.26,6,1
12,B2,469.74,6,1
12,C2,645.8,6,1
13,A2,1023.02,6,1
13,B2,594.68,6,1
13,C2,863.1,6,1
14,A2,547.83,6,1
14,B2,406.4,6,1
14,C2,603.19,6,1
