Day,Well,mean_cells,n_tiles,channel_count
1,A3,37.23,6,1
1,B3,35.57,6,1
1,C3,21.05,6,1
2,A3,66.92,6,1
2,B3,53.67,6,1
2,C3,41.8,6,1
3,A3,107.46,6,1
3,B3,97.08,6,1
3,C3,70.92,6,1
4,A3,232.38,6,1
4,B3,203.72,6,1
4,C3,133.13,6,1
5,A3,469.05,6,1
5,B3,426.73,6,1
5,C3,278.12,6,1
6,A3,756.44,6,1
6,B3,581.21,6,1
6,C3,491.44,6,1
7,A3,1015.67,6,1
7,B3,808.65,6,1
7,C3,710.2,6,1
8,A3,1279.17,6,1
8,B3,993.74,6,1
8,C3,851.52,6,1
9,A3,1557.5,6,1
9,B3,1177.03,6,1
9,C3,1284.51,6,1
10,A3,1293.44,6,1
10,B3,968.21,6,1
10,C3,983.69,6,1
11,A3,1973.89,6,1
11,B3,1448.94,6,1
11,C3,1782.69,6,1
12,A3,1299.12,6,1
12,B3,826.42,6,1
12,C3,833.49,6,1
13,A3,1807.94,6,1
13,B3,1192.49,6,1
13,C3,1397.13,6,1
14,A3,1167.27,6,1
14,B3,1032.88,6,1
14,C3,1056.86,6,1
