Day,day_mean_cells,n_wells
1,31.28,3
2,54.13,3
3,91.82,3
4,189.74,3
5,391.3,3
6,609.7,3
7,844.84,3
8,1041.48,3
9,1339.68,3
10,1081.78,3
11,1735.17,3
12,986.34,3
13,1465.85,3
14,1085.67,3
