Day,day_mean_cells,n_wells
1,11.14,3
2,19.92,3
3,30.6,3
4,72.58,3
5,135.09,3
6,172.97,3
7,227.51,3
8,317.33,3
9,369.63,3
10,281.57,3
11,418.86,3
12,223.77,2
13,309.23,3
14,194.61,3
