Day,day_mean_cells,n_wells
1,28.17,3
2,47.17,3
3,85.17,3
4,162.8,3
5,316.41,3
6,379.49,3
7,534.9,3
8,767.09,3
9,892.32,3
10,674.77,3
11,1008.1,3
12,618.93,3
13,826.93,3
14,519.14,3
