Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,B1,6,332.851157,97.971468,39.996684
1,B2,6,289.437616,86.375846,35.262791
1,B3,6,209.308333,66.626910,27.200322
2,B1,6,609.895833,185.872443,75.882107
2,B2,6,576.794907,147.735323,60.312693
2,B3,6,350.951042,83.642887,34.147066
3,B1,6,907.462269,318.218571,129.912187
3,B2,6,917.526736,220.320415,89.945433
3,B3,6,606.416782,154.698421,63.155366
4,B1,6,1217.911690,292.819977,119.543255
4,B2,6,1204.067477,313.136131,127.837290
4,B3,6,795.812500,197.786586,80.746036
5,B1,6,1323.855208,214.548452,87.589039
5,B2,6,1326.023264,429.093579,175.176720
5,B3,6,1011.134144,134.725000,55.001251
6,B1,6,1663.251620,261.633424,106.811398
6,B2,6,1561.317477,415.827797,169.760987
6,B3,6,1348.144560,188.534347,76.968825
7,B1,6,1915.288079,171.453096,69.995434
7,B2,6,1878.018403,228.082312,93.114214
7,B3,6,1559.645602,212.172456,86.619043
8,B1,6,1869.473148,291.115428,118.847376
8,B2,6,1834.733912,287.684153,117.446563
8,B3,6,1560.097222,179.018777,73.084110
9,B1,6,1603.513310,232.216183,94.801860
9,B2,6,1728.071412,342.772497,139.936286
9,B3,6,1561.245833,204.910960,83.654549
10,B1,6,1878.830903,239.200573,97.653225
10,B2,6,1713.246759,441.018819,180.045179
10,B3,6,1705.010185,304.978982,124.507148
11,B1,6,2000.482523,356.639948,145.597649
11,B2,6,1688.086111,327.206097,133.581330
11,B3,6,1702.604514,265.704410,108.473371
12,B1,6,1676.259259,403.352686,164.668044
12,B2,6,1636.224074,268.275364,109.522959
12,B3,6,1682.168634,218.847904,89.344282
13,B1,6,2048.668866,297.883127,121.610277
13,B2,6,1750.994792,254.576302,103.930340
13,B3,6,1808.891319,352.162053,143.769556
14,B1,6,2624.928819,689.600164,281.528088
14,B2,6,2176.738889,400.236400,163.395826
14,B3,6,2763.593171,419.224358,171.147628
