Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,B4,6,102.510417,17.288083,7.057830
1,B5,6,111.150116,17.479508,7.135979
1,B6,6,139.203009,25.730200,10.504310
2,B4,6,196.253588,40.165790,16.397615
2,B5,6,183.938426,43.574515,17.789221
2,B6,6,239.397106,39.428378,16.096568
3,B4,6,372.058449,63.138185,25.776056
3,B5,6,360.129398,85.552701,34.926744
3,B6,6,446.204745,79.885444,32.613096
4,B4,6,784.825116,123.226930,50.307184
4,B5,6,722.133681,171.525357,70.024934
4,B6,6,872.530787,178.283796,72.784055
5,B4,6,1240.018519,260.992919,106.549913
5,B5,6,1163.588773,235.571763,96.171770
5,B6,6,1581.443056,161.654954,65.995359
6,B4,6,1740.177431,243.781905,99.523546
6,B5,6,1747.665856,250.076654,102.093366
6,B6,6,2355.131366,276.399708,112.839708
7,B4,6,2377.378588,325.982942,133.081979
7,B5,6,2525.786921,266.504917,108.800177
7,B6,6,2880.366319,264.477211,107.972369
8,B4,6,2284.593866,243.377466,99.358435
8,B5,6,2395.960764,237.787686,97.076416
8,B6,6,2375.477315,680.779503,277.927068
9,B4,6,3032.127778,297.837277,121.591559
9,B5,6,3171.603819,309.092059,126.186305
9,B6,6,3456.523495,435.140962,177.645554
10,B4,6,2794.635532,196.221441,80.107068
10,B5,6,2856.253704,289.380225,118.138982
10,B6,6,3210.531019,480.055700,195.981919
11,B4,6,3415.588542,343.363390,140.177517
11,B5,6,3725.274421,342.310886,139.747834
11,B6,6,3644.471296,439.365903,179.370379
12,B4,6,2586.729282,525.876657,214.688246
12,B5,6,2345.377431,461.771747,188.517526
12,B6,6,2671.874653,709.041907,289.465147
13,B4,6,3571.239468,606.744286,247.702318
13,B5,6,3889.531713,475.513059,194.127394
13,B6,6,4099.576505,383.521203,156.571875
14,B4,6,4061.074537,328.896401,134.271393
14,B5,6,4174.659028,110.467375,45.098117
14,B6,6,4114.276157,422.467085,172.471465
