Day,day_mean_value,day_sd,n_wells,day_sem
1,154.28,28.4555,6,11.6169
2,285.21,53.3718,6,21.7889
3,425.08,53.4105,6,21.8047
4,562.62,81.115,6,33.1151
5,850.45,146.7213,6,59.8987
6,932.26,155.2712,6,63.3892
7,1392.04,224.3065,6,91.5727
8,999.73,130.189,6,53.1494
9,1287.63,191.6168,6,78.2272
10,1285.18,219.2581,6,89.5117
11,1589.92,371.13,6,151.5132
12,1183.66,376.37,6,153.6524
13,1283.01,316.0883,6,129.0425
14,1010.31,186.3341,6,76.0706
