Day,day_mean_value,day_sd,n_wells,day_sem
1,216.95,77.6938,6,31.7184
2,395.04,170.508,6,69.6096
3,575.9,243.1817,6,99.2785
4,750.96,322.5407,6,131.6767
5,1098.77,378.7628,6,154.6293
6,1222.95,450.4089,6,183.8787
7,1636.88,637.1242,6,260.1049
8,1417.09,443.7281,6,181.1512
9,1830.37,503.6035,6,205.5953
10,2137.61,509.2529,6,207.9016
11,2132.98,452.9411,6,184.9124
12,1500.2,456.8478,6,186.5073
13,1762.65,555.362,6,226.7256
14,1454.53,395.7462,6,161.5627
