Day,day_mean_value,day_sd,n_wells,day_sem
1,99.62,26.3815,6,10.7702
2,151.65,53.0059,6,21.6396
3,256.71,94.2416,6,38.474
4,308.39,113.6513,6,46.3979
5,458.41,135.4917,6,55.3143
6,443.2,106.129,6,43.327
7,684.74,269.5948,6,110.0616
8,381.45,131.3127,6,53.6082
9,434.43,165.9306,6,67.7409
10,381.81,146.4227,6,59.7768
11,827.93,618.4642,6,252.487
12,564.25,286.5471,6,116.9824
13,1105.27,957.5678,6,390.9254
14,404.8,199.2633,6,81.3489
