Day,Well,mean_value,n_tiles,n_channels
1,A2,170.53,3,1
1,A5,124.7,3,1
1,B2,164.33,3,1
1,B5,119.77,3,1
1,C2,151.92,3,1
1,C5,194.43,3,1
2,A2,313.38,3,1
2,A5,288.5,3,1
2,B2,264.4,3,1
2,B5,209.58,3,1
2,C2,266.82,3,1
2,C5,368.56,3,1
3,A2,470.73,3,1
3,A5,375.42,3,1
3,B2,435.14,3,1
3,B5,358.28,3,1
3,C2,414.78,3,1
3,C5,496.1,3,1
4,A2,595.34,3,1
4,A5,458.45,3,1
4,B2,563.84,3,1
4,B5,485.69,3,1
4,C2,590.18,3,1
4,C5,682.19,3,1
5,A2,869.57,3,1
5,A5,655.95,3,1
5,B2,782.79,3,1
5,B5,865.45,3,1
5,C2,825.49,3,1
5,C5,1103.46,3,1
6,A2,1010.65,3,1
6,A5,824.71,3,1
6,B2,791.2,3,1
6,B5,797.06,3,1
6,C2,990.02,3,1
6,C5,1179.89,3,1
7,A2,1149.46,3,1
7,A5,1363.61,3,1
7,B2,1231.47,3,1
7,B5,1473.09,3,1
7,C2,1345.83,3,1
7,C5,1788.81,3,1
8,A2,1073.88,3,1
8,A5,888.26,3,1
8,B2,831.81,3,1
8,B5,978.51,3,1
8,C2,1192.12,3,1
8,C5,1033.8,3,1
9,A2,1323.14,3,1
9,A5,1151.6,3,1
9,B2,983.27,3,1
9,B5,1377.34,3,1
9,C2,1363.16,3,1
9,C5,1527.28,3,1
10,A2,1175.11,3,1
10,A5,1139.45,3,1
10,B2,1009.05,3,1
10,B5,1355.26,3,1
10,C2,1418.16,3,1
10,C5,1614.08,3,1
11,A2,1388.18,3,1
11,A5,1661.72,3,1
11,B2,1009.84,3,1
11,B5,1814.85,3,1
11,C2,1569.71,3,1
11,C5,2095.23,3,1
12,A2,930.57,3,1
12,A5,1588.22,3,1
12,B2,1710.01,3,1
12,B5,871.56,3,1
12,C2,860.76,3,1
12,C5,1140.84,3,1
13,A2,1051.62,3,1
13,A5,1737.68,3,1
13,B2,1130.56,3,1
13,B5,1558.78,3,1
13,C2,909.79,3,1
13,C5,1309.65,3,1
14,A2,1122.74,3,1
14,A5,1158.25,3,1
14,B2,1220.06,3,1
14,B5,948.9,3,1
14,C2,868.31,3,1
14,C5,743.58,3,1
