model,density,mix_label,loss,BIC,αSR,αRS,γ,δ
option2_alpha_beta_gamma_delta,20k,25-75,14118.999470183224,198.22716756131692,0.008892701089739536,0.0004012838985363571,1.0780700549881086,0.5431950509749838
option2_alpha_beta_gamma_delta,20k,50-50,5601.290429441415,170.491436596972,0.0020976868663141945,0.00016816293831099468,0.9162405349997617,0.7126654705310267
option2_alpha_beta_gamma_delta,20k,75-25,8254.674656781302,182.12491639443678,0.039197681034213415,0.08345887676710251,0.9391983298321979,0.8559394476132566
option2_alpha_beta_gamma_delta,30k,25-75,21513.114554388638,210.8614082996211,0.08440453460697186,1.937645492469019e-12,1.1175976145016004,2.788939556866182e-10
option2_alpha_beta_gamma_delta,30k,50-50,4786.615873021718,165.77623634854666,0.0016931115540556978,0.00016966456263684492,0.7635107500161387,0.6405551579836039
option2_alpha_beta_gamma_delta,30k,75-25,4522.7156744668655,164.07490523715177,0.0008286885365263348,0.00019256991692503738,0.8455683924087789,0.7067183642156523
