model,bic,ssr,params,cell_line,density,mix
logistic_growth,116.83902411003041,40444.8144996778,"[0.7044596281033407, 345.39239944726205]",A2780cis,unknown_density,75-25
logistic_growth,139.87007353553605,209560.69247134234,"[0.7406140602087524, 719.4718815321316]",A2780cis,unknown_density,50-50
logistic_growth,156.46722663257862,685757.6836153175,"[0.9176514671984436, 2192.427203719186]",A2780Naive,unknown_density,25-75
