Day,Well,mean_value,n_tiles,n_channels
1,A2,157.72,3,1
1,A5,263.04,3,1
1,B2,160.06,3,1
1,B5,101.37,3,1
1,C2,162.0,3,1
1,C5,148.56,3,1
2,A2,239.28,3,1
2,A5,448.49,3,1
2,B2,259.12,3,1
2,B5,213.81,3,1
2,C2,289.76,3,1
2,C5,241.63,3,1
3,A2,433.88,3,1
3,A5,616.73,3,1
3,B2,382.79,3,1
3,B5,314.28,3,1
3,C2,417.07,3,1
3,C5,432.28,3,1
4,A2,619.74,3,1
4,A5,795.28,3,1
4,B2,521.88,3,1
4,B5,475.61,3,1
4,C2,595.17,3,1
4,C5,639.22,3,1
5,A2,1014.99,3,1
5,A5,1258.85,3,1
5,B2,717.69,3,1
5,B5,685.04,3,1
5,C2,819.02,3,1
5,C5,778.44,3,1
6,A2,989.56,3,1
6,A5,1366.27,3,1
6,B2,825.52,3,1
6,B5,650.61,3,1
6,C2,973.31,3,1
6,C5,877.4,3,1
7,A2,1408.62,3,1
7,A5,1870.94,3,1
7,B2,1248.11,3,1
7,B5,1327.15,3,1
7,C2,1420.2,3,1
7,C5,1201.69,3,1
8,A2,1124.35,3,1
8,A5,1485.13,3,1
8,B2,665.33,3,1
8,B5,945.35,3,1
8,C2,1077.49,3,1
8,C5,811.46,3,1
9,A2,1236.87,3,1
9,A5,1576.86,3,1
9,B2,735.69,3,1
9,B5,1237.63,3,1
9,C2,1125.47,3,1
9,C5,1122.4,3,1
10,A2,1340.22,3,1
10,A5,1738.44,3,1
10,B2,1040.66,3,1
10,B5,1276.07,3,1
10,C2,1289.6,3,1
10,C5,1082.42,3,1
11,A2,1254.02,3,1
11,A5,1446.48,3,1
11,B2,804.05,3,1
11,B5,1017.35,3,1
11,C2,1046.08,3,1
11,C5,927.04,3,1
12,A2,1455.12,3,1
12,A5,1319.8,3,1
12,B2,1450.18,3,1
12,B5,1850.43,3,1
12,C2,1242.6,3,1
12,C5,1423.36,3,1
13,A2,1526.08,3,1
13,A5,1966.08,3,1
13,B2,1566.86,3,1
13,B5,2105.73,3,1
13,C2,1312.42,3,1
13,C5,1724.79,3,1
14,A2,1272.98,3,1
14,A5,1407.43,3,1
14,B2,1286.69,3,1
14,B5,1978.11,3,1
14,C2,1183.65,3,1
14,C5,1091.56,3,1
