Day,Well,mean_value,n_tiles,n_channels
1,A3,98.9,3,1
1,A6,155.41,3,1
1,B3,49.23,3,1
1,B6,103.53,3,1
1,C3,47.83,3,1
1,C6,98.82,3,1
2,A3,257.16,3,1
2,A6,254.4,3,1
2,B3,73.11,3,1
2,B6,160.9,3,1
2,C3,77.14,3,1
2,C6,178.91,3,1
3,A3,304.01,3,1
3,A6,407.93,3,1
3,B3,104.55,3,1
3,B6,290.95,3,1
3,C3,143.48,3,1
3,C6,273.19,3,1
4,A3,350.41,3,1
4,A6,509.66,3,1
4,B3,175.15,3,1
4,B6,255.77,3,1
4,C3,196.78,3,1
4,C6,338.23,3,1
5,A3,579.55,3,1
5,A6,740.93,3,1
5,B3,306.35,3,1
5,B6,454.99,3,1
5,C3,249.79,3,1
5,C6,472.0,3,1
6,A3,694.76,3,1
6,A6,587.05,3,1
6,B3,335.97,3,1
6,B6,455.88,3,1
6,C3,354.51,3,1
6,C6,445.76,3,1
7,A3,953.49,3,1
7,A6,914.91,3,1
7,B3,377.09,3,1
7,B6,527.16,3,1
7,C3,437.56,3,1
7,C6,657.56,3,1
8,A3,766.78,3,1
8,A6,588.31,3,1
8,B3,299.65,3,1
8,B6,368.35,3,1
8,C3,255.8,3,1
8,C6,319.15,3,1
9,A3,598.89,3,1
9,A6,490.88,3,1
9,B3,284.12,3,1
9,B6,263.5,3,1
9,C3,241.87,3,1
9,C6,281.53,3,1
10,A3,526.07,3,1
10,A6,747.57,3,1
10,B3,326.62,3,1
10,B6,361.47,3,1
10,C3,266.75,3,1
10,C6,293.86,3,1
11,A3,867.05,3,1
11,A6,672.07,3,1
11,B3,339.18,3,1
11,B6,429.63,3,1
11,C3,303.6,3,1
11,C6,343.32,3,1
12,A3,812.28,3,1
12,A6,1186.32,3,1
12,B3,834.22,3,1
12,B6,651.02,3,1
12,C3,541.65,3,1
12,C6,707.55,3,1
13,A3,1509.84,3,1
13,A6,1101.54,3,1
13,B3,563.21,3,1
13,B6,666.5,3,1
13,C3,735.97,3,1
13,C6,1889.24,3,1
14,A3,903.52,3,1
14,A6,1309.58,3,1
14,B3,1276.13,3,1
14,B6,776.05,3,1
14,C3,723.96,3,1
14,C6,540.03,3,1
