Day,day_mean_value,day_sd,n_wells,day_sem
1,92.29,40.0691,6,16.3581
2,166.94,81.0392,6,33.0841
3,254.02,111.7846,6,45.6359
4,304.33,123.3252,6,50.3473
5,467.27,179.367,6,73.2263
6,478.99,138.4355,6,56.5161
7,644.63,243.6669,6,99.4766
8,433.01,200.9248,6,82.0272
9,360.13,147.9055,6,60.3822
10,420.39,184.4421,6,75.2982
11,492.48,227.1258,6,92.7237
12,788.84,222.398,6,90.7936
13,1077.72,528.4837,6,215.7526
14,921.54,310.6087,6,126.8055
