Day,Well,mean_value,n_tiles,n_channels
1,A1,187.61,3,1
1,A4,328.17,3,1
1,B1,154.67,3,1
1,B4,200.81,3,1
1,C1,186.85,3,1
1,C4,250.39,3,1
2,A1,278.21,3,1
2,A4,576.76,3,1
2,B1,238.37,3,1
2,B4,312.22,3,1
2,C1,297.74,3,1
2,C4,435.87,3,1
3,A1,456.46,3,1
3,A4,844.47,3,1
3,B1,433.16,3,1
3,B4,456.48,3,1
3,C1,430.35,3,1
3,C4,654.75,3,1
4,A1,582.32,3,1
4,A4,1209.65,3,1
4,B1,563.18,3,1
4,B4,620.11,3,1
4,C1,660.96,3,1
4,C4,898.44,3,1
5,A1,675.64,3,1
5,A4,1525.37,3,1
5,B1,764.46,3,1
5,B4,939.97,3,1
5,C1,892.82,3,1
5,C4,1280.68,3,1
6,A1,814.7,3,1
6,A4,1783.84,3,1
6,B1,834.53,3,1
6,B4,1168.54,3,1
6,C1,1088.1,3,1
6,C4,1460.08,3,1
7,A1,1536.86,3,1
7,A4,2290.97,3,1
7,B1,1138.44,3,1
7,B4,2044.31,3,1
7,C1,1349.02,3,1
7,C4,2192.52,3,1
8,A1,1063.92,3,1
8,A4,1846.53,3,1
8,B1,1114.2,3,1
8,B4,1382.28,3,1
8,C1,1242.05,3,1
8,C4,1753.76,3,1
9,A1,1415.67,3,1
9,A4,2097.47,3,1
9,B1,1289.12,3,1
9,B4,1872.06,3,1
9,C1,1218.6,3,1
9,C4,2071.36,3,1
10,A1,2139.07,3,1
10,A4,2999.54,3,1
10,B1,1373.63,3,1
10,B4,2515.53,3,1
10,C1,1564.67,3,1
10,C4,2050.32,3,1
11,A1,1807.76,3,1
11,A4,2222.32,3,1
11,B1,1307.92,3,1
11,B4,2036.88,3,1
11,C1,1130.64,3,1
11,C4,1959.53,3,1
12,A1,1835.36,3,1
12,A4,2484.61,3,1
12,B1,1330.43,3,1
12,B4,1791.71,3,1
12,C1,1437.85,3,1
12,C4,2086.29,3,1
13,A1,1853.07,3,1
13,A4,2743.1,3,1
13,B1,1395.0,3,1
13,B4,2009.87,3,1
13,C1,1456.2,3,1
13,C4,2086.21,3,1
14,A1,1543.33,3,1
14,A4,2080.62,3,1
14,B1,1422.29,3,1
14,B4,1930.69,3,1
14,C1,1056.95,3,1
14,C4,1848.54,3,1
