Day,day_mean_value,day_sd,n_wells,day_sem
1,165.46,52.9453,6,21.6148
2,282.02,85.3314,6,34.8364
3,432.84,100.6251,6,41.08
4,607.82,110.7199,6,45.2012
5,879.0,219.1486,6,89.467
6,947.11,239.0562,6,97.5943
7,1412.78,240.4124,6,98.148
8,1018.18,284.7359,6,116.2429
9,1172.49,271.0783,6,110.6673
10,1294.57,248.5757,6,101.4806
11,1082.5,232.0231,6,94.723
12,1456.92,210.1238,6,85.7827
13,1700.33,294.6937,6,120.3082
14,1370.07,316.1668,6,129.0746
