Day,day_mean_value,n_wells
1,218.08,6
2,356.53,6
3,545.95,6
4,755.78,6
5,1013.16,6
6,1191.63,6
7,1758.69,6
8,1400.46,6
9,1660.71,6
10,2107.13,6
11,1744.18,6
12,1827.71,6
13,1923.91,6
14,1647.07,6
