density,cell_line,model,title,params,sse,bic,aic
30k,A2780Naive,theta_hill_kill,theta_hill_kill,"kmax=1.1363, n=5.2799, K50=1.1395",4050.253971573714,213.91424445207167,208.4942569827607
30k,A2780Naive,damage_repair_arrest,damage_repair_arrest,"kmax=3.232, n=0.9126, K50=90.8858, k_rep=1.9004, k_arr=1.3718, dA=1.4012",666253.9071308633,454.9643382452508,444.1243633066289
30k,A2780Naive,sensitive_resistant,sensitive_resistant,"rS_scale=0.2005, rR_scale=0.1767, kS_max=3.5339, kR_max=1.9066, n=2.8633, K50S=97.7579, K50R=4.5321, S0_frac=0.0101",20989.141385159885,306.9827106520105,292.52941073384795
30k,A2780Naive,biexponential,biexponential,"w=0.0, lambda1=0.2945, lambda2=0.0",26261.038497637077,298.03305165173344,292.6130641824225
30k,A2780Naive,theta_hill_inhibition_dde,theta_hill_inhibition_dde,"Emax=0.9993, n=5.9639, IC50=1.0, tau=3.0",14364.593778492323,274.6903140798474,267.4636641207661
30k,A2780Naive,Model3_parpi,Model3_parpi,"alpha=0.6978, beta=0.0004, gamma=1.0111, d=0.2174",18584.548181168262,286.2806976367009,279.0540476776196
30k,A2780Naive,adaptive_ic50,adaptive_ic50,"Emax=0.8022, n=3.1616, IC50_0=3.385, a=1.8922, b=1.4244",742436.3305865296,456.0296582260567,446.99634577720514
30k,A2780Naive,lag_hill_inhibition,lag_hill_inhibition,"Emax=0.9984, n=5.9616, IC50=1.0, t_lag=0.8542, m=0.5167",6844.240373122966,245.1358244348458,236.1025119859942
30k,A2780Naive,Model2_parpi,Model2_parpi,"alpha=0.8236, beta=0.0, d=0.7462",16420.443252820765,276.90288240961974,271.48289494030877
30k,A2780Naive,theta_hill_kill_dde,theta_hill_kill_dde,"kmax=3.7856, n=1.4583, K50=5.7292, tau=2.9544",24457.260978946597,298.6375469710421,291.41089701196086
30k,A2780Naive,Model1_parpi,Model1_parpi,"alpha=0.523, beta=0.0, d=0.0983",22499.128570926223,291.07560900641056,285.6556215370996
30k,A2780Naive,Model4_parpi,Model4_parpi,"alpha=0.5969, phi=1.9899, d=0.1199",19893.65177544226,285.5371933398502,280.11720587053924
30k,A2780cis,transit_erlang_m4,transit_erlang_m4,"kmax=3.2192, n=1.9575, K50=7.8476, tau=0.2",1875.3995945212755,183.07280439435067,175.8461544352694
30k,A2780cis,time_delay,time_delay,"alpha=0.3237, beta=0.5, n=1.8353, kD=4.1463",1824.3149079688592,181.83002903845383,174.60337907937256
30k,A2780cis,pkpd_hill_inhibition,pkpd_hill_inhibition,"Emax=0.9715, n=1.3743, IC50=14.156, k_e=1.5767",8980.125194976377,253.55144754241002,246.32479758332875
30k,A2780cis,theta_hill_inhibition,theta_hill_inhibition,"Emax=0.9225, n=2.1036, IC50=2.3505",1985.8911889261585,181.84221286161755,176.4222253923066
30k,A2780cis,theta_hill_kill,theta_hill_kill,"kmax=3.9293, n=1.9393, K50=8.972",1848.8632083943453,178.62485655598473,173.20486908667377
30k,A2780cis,damage_repair_arrest,damage_repair_arrest,"kmax=0.3563, n=1.2355, K50=2.7388, k_rep=0.0078, k_arr=1.9863, dA=1.6644",2189.4846495825495,197.65412928715025,186.81415434852835
